airport_code,airport_name,city,state,latitude,longitude
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.6407,-84.4277
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9742,-87.9073
DFW,Dallas/Fort Worth International Airport,Dallas,TX,32.8998,-97.0403
DEN,Denver International Airport,Denver,CO,39.8561,-104.6737
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.214,-80.9431
LAX,Los Angeles International Airport,Los Angeles,CA,33.9416,-118.4085
JFK,John F. Kennedy International Airport,New York,NY,40.6413,-73.7781
SFO,San Francisco International Airport,San Francisco,CA,37.6213,-122.379
SEA,Seattle-Tacoma International Airport,Seattle,WA,47.4502,-122.3088
MCO,Orlando International Airport,Orlando,FL,28.4312,-81.3081
LAS,Harry Reid International Airport,Las Vegas,NV,36.084,-115.1537
EWR,Newark Liberty International Airport,Newark,NJ,40.6895,-74.1745
MIA,Miami International Airport,Miami,FL,25.7959,-80.287
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.4373,-112.0078
BOS,Boston Logan International Airport,Boston,MA,42.3656,-71.0096
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.8848,-93.2223
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,42.2162,-83.3554
FLL,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,FL,26.0742,-80.1506
PHL,Philadelphia International Airport,Philadelphia,PA,39.8729,-75.2437
LGA,LaGuardia Airport,New York,NY,40.7769,-73.874
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1774,-76.6684
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.7899,-111.9791
SAN,San Diego International Airport,San Diego,CA,32.7338,-117.1933
IAD,Washington Dulles International Airport,Washington,DC,38.9531,-77.4565
TPA,Tampa International Airport,Tampa,FL,27.9772,-82.5311
