FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023-01-01,DL,2999,N754DL,SFO,DFW,601,610.0,9.0,957,1004.0,7.0,0,,0,236,234.0,218.0,1770,0,0,0,0,0
2023-01-01,DL,2840,N754DL,DFW,MCO,1056,1156.0,60.0,1415,1518.0,63.0,0,,0,199,202.0,184.0,1492,0,0,63,0,0
2023-01-01,DL,879,N754DL,MCO,BOS,1618,1651.0,33.0,1757,1832.0,35.0,0,,0,99,101.0,86.0,742,0,0,0,0,35
2023-01-01,DL,1749,N754DL,BOS,ORD,1920,2003.0,43.0,2201,2246.0,45.0,0,,0,161,163.0,146.0,1207,27,0,0,0,17
2023-01-01,DL,408,N214DL,SEA,SFO,758,751.0,-7.0,1106,1048.0,-18.0,0,,0,188,177.0,152.0,1410,0,0,0,0,0
2023-01-01,DL,1068,N214DL,SFO,DFW,1133,1138.0,5.0,1330,1335.0,5.0,0,,0,117,117.0,102.0,877,0,0,0,0,0
2023-01-01,DL,1963,N125DL,ATL,MCO,739,743.0,4.0,1007,1016.0,9.0,0,,0,148,153.0,128.0,1110,0,0,0,0,0
2023-01-01,DL,877,N125DL,MCO,CLT,1116,1134.0,18.0,1346,1402.0,16.0,0,,0,150,148.0,133.0,1125,0,0,16,0,0
2023-01-01,DL,2052,N125DL,CLT,LGA,1448,1451.0,3.0,1811,1804.0,-7.0,0,,0,203,193.0,169.0,1522,0,0,0,0,0
2023-01-01,DL,2433,N859DL,SFO,DEN,743,746.0,3.0,1001,1013.0,12.0,0,,0,138,147.0,123.0,1035,0,0,0,0,0
2023-01-01,DL,936,N859DL,DEN,MCO,1108,1109.0,1.0,1514,1524.0,10.0,0,,0,246,255.0,230.0,1845,0,0,0,0,0
2023-01-01,DL,1395,N859DL,MCO,MSP,1618,,,1751,,,1,A,0,93,,,697,0,0,0,0,0
2023-01-01,DL,1186,N381DL,FLL,DTW,654,649.0,-5.0,842,836.0,-6.0,0,,0,108,107.0,88.0,810,0,0,0,0,0
2023-01-01,DL,2325,N381DL,DTW,BOS,926,930.0,4.0,1341,1353.0,12.0,0,,0,255,263.0,240.0,1912,0,0,0,0,0
2023-01-01,DL,524,N350DL,FLL,SAN,716,719.0,3.0,905,913.0,8.0,0,,0,109,114.0,97.0,817,0,0,0,0,0
2023-01-01,DL,2577,N350DL,SAN,MCO,1006,1046.0,40.0,1214,1257.0,43.0,0,,0,128,131.0,112.0,960,0,0,43,0,0
2023-01-01,DL,2698,N350DL,MCO,DFW,1343,1428.0,45.0,1646,1727.0,41.0,0,,0,183,179.0,162.0,1372,0,0,16,0,24
2023-01-01,DL,2990,N350DL,DFW,PHL,1826,1913.0,47.0,2130,2222.0,52.0,0,,0,184,189.0,174.0,1380,0,0,0,24,27
2023-01-01,DL,622,N328DL,FLL,PHX,637,641.0,4.0,802,821.0,19.0,0,,0,85,100.0,85.0,637,0,0,19,0,0
2023-01-01,DL,2893,N328DL,PHX,JFK,917,922.0,5.0,1135,1141.0,6.0,0,,0,138,139.0,115.0,1035,0,0,0,0,0
2023-01-01,DL,765,N328DL,JFK,SEA,1230,1230.0,0.0,1430,1447.0,17.0,0,,0,120,137.0,116.0,900,0,0,17,0,0
2023-01-01,DL,752,N328DL,SEA,MCO,1539,1535.0,-4.0,1953,1943.0,-10.0,0,,0,254,248.0,226.0,1905,0,0,0,0,0
2023-01-01,DL,2803,N242DL,SFO,ATL,657,807.0,70.0,901,1023.0,82.0,0,,0,124,136.0,117.0,930,82,0,0,0,0
2023-01-01,DL,2186,N242DL,ATL,SLC,1119,1209.0,50.0,1416,1522.0,66.0,0,,0,177,193.0,174.0,1327,0,0,0,0,66
2023-01-01,DL,1187,N242DL,SLC,PHL,1612,1725.0,73.0,1736,1853.0,77.0,0,,0,84,88.0,72.0,630,0,0,36,0,40
2023-01-01,DL,1886,N854DL,JFK,ORD,705,707.0,2.0,820,833.0,13.0,0,,0,75,86.0,61.0,562,0,0,0,0,0
2023-01-01,DL,1866,N854DL,ORD,MIA,924,925.0,1.0,1056,1055.0,-1.0,0,,0,92,90.0,65.0,690,0,0,0,0,0
2023-01-01,DL,1330,N854DL,MIA,TPA,1143,1141.0,-2.0,1507,1515.0,8.0,0,,0,204,214.0,195.0,1530,0,0,0,0,0
2023-01-01,DL,1822,N854DL,TPA,JFK,1604,1558.0,-6.0,2009,2010.0,1.0,0,,0,245,252.0,228.0,1837,0,0,0,0,0
2023-01-01,DL,1275,N204DL,FLL,MCO,600,602.0,2.0,808,808.0,0.0,0,,0,128,126.0,104.0,960,0,0,0,0,0
2023-01-01,DL,2867,N204DL,MCO,MSP,907,911.0,4.0,1116,1131.0,15.0,0,,0,129,140.0,123.0,967,0,0,15,0,0
2023-01-01,DL,2211,N204DL,MSP,MCO,1218,1222.0,4.0,1622,1635.0,13.0,0,,0,244,253.0,234.0,1830,0,0,0,0,0
2023-01-01,DL,1102,N792DL,CLT,ORD,606,605.0,-1.0,922,922.0,0.0,0,,0,196,197.0,172.0,1470,0,0,0,0,0
2023-01-01,DL,2952,N792DL,ORD,IAD,1013,1017.0,4.0,1306,1322.0,16.0,0,,0,173,185.0,169.0,1297,0,0,16,0,0
2023-01-01,DL,2002,N858DL,LAX,FLL,858,851.0,-7.0,1025,1020.0,-5.0,0,,0,87,89.0,72.0,652,0,0,0,0,0
2023-01-01,DL,2275,N858DL,FLL,SAN,1119,1118.0,-1.0,1457,1503.0,6.0,0,,0,218,225.0,202.0,1635,0,0,0,0,0
